SNO,FileName,Index,KeyHash,Key,Translation
2681155,Item_S15_Rune_Condition_Amn,0,3679068894,RuneDescription,{c_RuneCondition}Deal Thorns Damage.{/c} 
2681155,Item_S15_Rune_Condition_Amn,1,3975619591,RunewordPhrasePrefix,Thorned
2681155,Item_S15_Rune_Condition_Amn,2,4062401,Name,Amn
2681153,Item_S15_Rune_Condition_Eth,0,3679068894,RuneDescription,{c_RuneCondition}Avoid spending Primary Resource while fighting for 5 seconds.{/c} 
2681153,Item_S15_Rune_Condition_Eth,1,3975619591,RunewordPhrasePrefix,Prudent
2681153,Item_S15_Rune_Condition_Eth,2,4062401,Name,Eth
2681159,Item_S15_Rune_Condition_Mal,0,3679068894,RuneDescription,{c_RuneCondition}Invoke your Prime Evil power{/c}
2681159,Item_S15_Rune_Condition_Mal,1,3975619591,RunewordPhrasePrefix,Prime
2681159,Item_S15_Rune_Condition_Mal,2,4062401,Name,Mal
2681128,Item_S15_Rune_Condition_Ort,0,3679068894,RuneDescription,{c_RuneCondition}Deal Non-Physical Direct Damage{/c}
2681128,Item_S15_Rune_Condition_Ort,1,3975619591,RunewordPhrasePrefix,Elemental
2681128,Item_S15_Rune_Condition_Ort,2,4062401,Name,Ort
2681110,Item_S15_Rune_Condition_Tal,0,3679068894,RuneDescription,{c_RuneCondition}Deal Damage over Time{/c}
2681110,Item_S15_Rune_Condition_Tal,1,3975619591,RunewordPhrasePrefix,Winnowing
2681110,Item_S15_Rune_Condition_Tal,2,4062401,Name,Tal
2681171,Item_S15_Rune_Effect_Ber,0,4096619470,RunewordPhraseSuffix,Verdict
2681171,Item_S15_Rune_Effect_Ber,1,3679068894,RuneDescription,{c_RuneEffect}Lucky Hit: Your next {c_number}5{/c} skills have up to a {c_number}10%{/c} Chance to deliver a Crushing Blow.
2681171,Item_S15_Rune_Effect_Ber,2,3045201534,RuneOverflowBehavior,Gain Multiple Stacks
2681171,Item_S15_Rune_Effect_Ber,3,4062401,Name,Ber
2681169,Item_S15_Rune_Effect_Ist,0,3679068894,RuneDescription,{c_RuneEffect}Invoke your Prime Evil power{/c}.
2681169,Item_S15_Rune_Effect_Ist,1,4096619470,RunewordPhraseSuffix,Evil
2681169,Item_S15_Rune_Effect_Ist,2,4062401,Name,Ist
2681157,Item_S15_Rune_Effect_Ith,0,4096619470,RunewordPhraseSuffix,Power
2681157,Item_S15_Rune_Effect_Ith,1,3679068894,RuneDescription,"{c_RuneEffect}Gain {c_number}+5{/c} Weapon Damage for {c_number}5{/c} seconds, up to {c_number}+125{/c}."
2681157,Item_S15_Rune_Effect_Ith,2,3045201534,RuneOverflowBehavior,Gain Multiple Stacks
2681157,Item_S15_Rune_Effect_Ith,3,4062401,Name,Ith
2681167,Item_S15_Rune_Effect_Lo,0,4096619470,RunewordPhraseSuffix,Lethality
2681167,Item_S15_Rune_Effect_Lo,1,3679068894,RuneDescription,{c_RuneEffect}Gain {c_number}25%{/c} Deadly Strike Chance for {c_number}10{/c} seconds.
2681167,Item_S15_Rune_Effect_Lo,2,3045201534,RuneOverflowBehavior,Increased Duration
2681167,Item_S15_Rune_Effect_Lo,3,4062401,Name,Lo
2681161,Item_S15_Rune_Effect_Ral,0,4096619470,RunewordPhraseSuffix,Greed
2681161,Item_S15_Rune_Effect_Ral,1,3679068894,RuneDescription,{c_RuneEffect}Gain {c_number}250%{/c} Gold Find for {c_number}7{/c} seconds.
2681161,Item_S15_Rune_Effect_Ral,2,4062401,Name,Ral
2681163,Item_S15_Rune_Effect_Sol,0,4096619470,RunewordPhraseSuffix,Bulwark
2681163,Item_S15_Rune_Effect_Sol,1,3679068894,RuneDescription,{c_RuneEffect}Gain {c_number}15%{/c} Damage Reduction for {c_number}{s1}{/c} seconds.
2681163,Item_S15_Rune_Effect_Sol,2,4062401,Name,Sol
2681165,Item_S15_Rune_Effect_Tir,0,4096619470,RunewordPhraseSuffix,Harvest
2681165,Item_S15_Rune_Effect_Tir,1,3679068894,RuneDescription,"{c_RuneEffect}Gain {c_number}+2{/c} Primary Resource on Kill for {c_number}8{/c} seconds, up to {c_number}+8{/c}."
2681165,Item_S15_Rune_Effect_Tir,2,3045201534,RuneOverflowBehavior,Gain Multiple Stacks
2681165,Item_S15_Rune_Effect_Tir,3,4062401,Name,Tir
60889,RareNameStrings_Prefix_Armor_Amulet,20,3973936891,Amulet021,The
4280,UIToolTips,218,1845121654,RuneUnsocketedCondition,{c_label}Gain:{/c} {c_RuneCondition}[RunicPowerDataValue()]{/c} Offering
4280,UIToolTips,219,116601916,RuneUnsocketedEffect,{c_label}Requires:{/c} {c_RuneCondition}[RunicPowerDataValue()]{/c} Offering
4280,UIToolTips,591,3497265662,SocketableConditionRune,Link with a Rune of Invocation in equipment with two Sockets to form a Runeword. Only two Runewords may be active at a time.
4280,UIToolTips,592,827345284,SocketableEffectRune,Link with a Rune of Ritual in equipment with two Sockets to form a Runeword. Only two Runewords may be active at a time.
4280,UIToolTips,608,3729146972,RuneInternalCooldown,{c_label}Cooldown:{/c} {c_RuneCondition}{s1}{/c} |4second:seconds;
