SNO,FileName,Index,KeyHash,Key,Translation
2533711,Item_X2_HoradricCube_TuningStone_1,0,4062401,Name,"{icon:Cube_TooltipIcon, 2} Aggressive Tuning Prism"
2533711,Item_X2_HoradricCube_TuningStone_1,1,2789670820,Description,"Used to target {icon:TemperAttribute_Offensive, 1.5}{c_important}Offensive{/c} affixes during Transmutations in the {icon:Cube_TooltipIcon, 1.5}{c_important}Horadric Cube{/c}.

Collected from: 
{icon:bullet,1.2}{icon:Cube_TooltipIcon, 1.5} {c_important}Cube Spoils{/c} in {icon:FontIcon_WarPlans, 1.8} {c_highlight}War Plans{/c}
{icon:bullet,1.2}{c_important}Cache Rewards{/c} from {icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5} {c_highlight}The Tree of Whispers{/c}
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5} {c_important}Elite{/c} monsters
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5} {c_highlight}Undercity of Kurast{/c}"
2533711,Item_X2_HoradricCube_TuningStone_1,2,4123507722,Flavor,"""The materials of creation exist in abundance, in every particle of our world. Shaping them is a matter of will alone. Ours versus that of creation."" -Zoltun Kulle"
2533714,Item_X2_HoradricCube_TuningStone_2,0,4062401,Name,"{icon:Cube_TooltipIcon, 2} Protector's Tuning Prism"
2533714,Item_X2_HoradricCube_TuningStone_2,1,2789670820,Description,"Used to target {icon:TemperAttribute_Defensive, 1.5}{c_important}Defensive{/c} affixes during Transmutations in the {icon:Cube_TooltipIcon, 1.5}{c_important}Horadric Cube{/c}.

Collected from: 
{icon:bullet,1.2}{icon:Cube_TooltipIcon, 1.5} {c_important}Cube Spoils{/c} in {icon:FontIcon_WarPlans, 1.8} {c_highlight}War Plans{/c}
{icon:bullet,1.2}{c_important}Cache Rewards{/c} from {icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5} {c_highlight}The Tree of Whispers{/c}
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5} {c_important}Elite{/c} monsters
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5} {c_highlight}Undercity of Kurast{/c}"
2533714,Item_X2_HoradricCube_TuningStone_2,2,4123507722,Flavor,"""The materials of creation exist in abundance, in every particle of our world. Shaping them is a matter of will alone. Ours versus that of creation."" -Zoltun Kulle"
2533717,Item_X2_HoradricCube_TuningStone_3,0,4062401,Name,"{icon:Cube_TooltipIcon, 2} Resourceful Tuning Prism"
2533717,Item_X2_HoradricCube_TuningStone_3,1,2789670820,Description,"Used to target {icon:TemperAttribute_Resource, 1.5}{c_important}Resource{/c} affixes during Transmutations in the {icon:Cube_TooltipIcon, 1.5}{c_important}Horadric Cube{/c}.

Collected from: 
{icon:bullet,1.2}{icon:Cube_TooltipIcon, 1.5} {c_important}Cube Spoils{/c} in {icon:FontIcon_WarPlans, 1.8} {c_highlight}War Plans{/c}
{icon:bullet,1.2}{c_important}Cache Rewards{/c} from {icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5} {c_highlight}The Tree of Whispers{/c}
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5} {c_important}Elite{/c} monsters
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5} {c_highlight}Undercity of Kurast{/c}"
2533717,Item_X2_HoradricCube_TuningStone_3,2,4123507722,Flavor,"""The materials of creation exist in abundance, in every particle of our world. Shaping them is a matter of will alone. Ours versus that of creation."" -Zoltun Kulle"
2533719,Item_X2_HoradricCube_TuningStone_4,0,4062401,Name,"{icon:Cube_TooltipIcon, 2} Pragmatic Tuning Prism"
2533719,Item_X2_HoradricCube_TuningStone_4,1,2789670820,Description,"Used to target {icon:TemperAttribute_Mobility, 1.5}{c_important}Mobility{/c} and {icon:TemperAttribute_Utility, 1.5}{c_important}Utility{/c} affixes during Transmutations in the {icon:Cube_TooltipIcon, 1.5}{c_important}Horadric Cube{/c}.

Collected from: 
{icon:bullet,1.2}{icon:Cube_TooltipIcon, 1.5} {c_important}Cube Spoils{/c} in {icon:FontIcon_WarPlans, 1.8} {c_highlight}War Plans{/c}
{icon:bullet,1.2}{c_important}Cache Rewards{/c} from {icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5} {c_highlight}The Tree of Whispers{/c}
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5} {c_important}Elite{/c} monsters
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5} {c_highlight}Undercity of Kurast{/c}"
2533719,Item_X2_HoradricCube_TuningStone_4,2,4123507722,Flavor,"""The materials of creation exist in abundance, in every particle of our world. Shaping them is a matter of will alone. Ours versus that of creation."" -Zoltun Kulle"
2533722,Item_X2_HoradricCube_TuningStone_5,0,4062401,Name,"{icon:Cube_TooltipIcon, 2} Chromatic Tuning Prism"
2533722,Item_X2_HoradricCube_TuningStone_5,1,2789670820,Description,"Used to target {c_important}Resistance{/c} affixes during Transmutations in the {icon:Cube_TooltipIcon, 1.5}{c_important}Horadric Cube{/c}.

Collected from: 
{icon:bullet,1.2}{icon:Cube_TooltipIcon, 1.5} {c_important}Cube Spoils{/c} in {icon:FontIcon_WarPlans, 1.8} {c_highlight}War Plans{/c}
{icon:bullet,1.2}{c_important}Cache Rewards{/c} from {icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5} {c_highlight}The Tree of Whispers{/c}
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5} {c_important}Elite{/c} monsters
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5} {c_highlight}Undercity of Kurast{/c}"
2533722,Item_X2_HoradricCube_TuningStone_5,2,4123507722,Flavor,"""The materials of creation exist in abundance, in every particle of our world. Shaping them is a matter of will alone. Ours versus that of creation."" -Zoltun Kulle"
2533726,Item_X2_HoradricCube_TuningStone_6,0,4062401,Name,"{icon:Cube_TooltipIcon, 2} Adept's Tuning Prism"
2533726,Item_X2_HoradricCube_TuningStone_6,1,2789670820,Description,"Used to target {c_important}Skill{/c} and {c_important}Core Stat{/c} affixes during Transmutations in the {icon:Cube_TooltipIcon, 1.5}{c_important}Horadric Cube{/c}.

Collected from: 
{icon:bullet,1.2}{icon:Cube_TooltipIcon, 1.5} {c_important}Cube Spoils{/c} in {icon:FontIcon_WarPlans, 1.8} {c_highlight}War Plans{/c}
{icon:bullet,1.2}{c_important}Cache Rewards{/c} from {icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5} {c_highlight}The Tree of Whispers{/c}
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5} {c_important}Elite{/c} monsters
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5} {c_highlight}Undercity of Kurast{/c}"
2533726,Item_X2_HoradricCube_TuningStone_6,2,4123507722,Flavor,"""Why should humanity accept limitations? By whose authority?"" -Zoltun Kulle"
2533730,Item_X2_HoradricCube_TuningStone_7,0,4062401,Name,"{icon:Transfiguration, 2} Entropic Tuning Prism"
2533730,Item_X2_HoradricCube_TuningStone_7,1,2789670820,Description,"Used to influence {icon:AttributeBullet_AffixTransfigured, 1.5}{c_chaos}Transfiguration{/c} outcomes in the {icon:Cube_TooltipIcon, 1.5}{c_important}Horadric Cube{/c}.

Removes the riskiest, but also the most powerful outcomes.

{c_highlight}Has a {/c}100%{c_highlight} chance of making an item {c_red}Unmodifiable{/c}.{/c}

Collected from: 
{icon:bullet,1.2}{icon:Cube_TooltipIcon, 1.5} {c_important}Cube Spoils{/c} in {icon:FontIcon_WarPlans, 1.8} {c_highlight}War Plans{/c}
{icon:bullet,1.2}{c_important}Cache Rewards{/c} from {icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5} {c_highlight}The Tree of Whispers{/c}
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5} {c_important}Elite{/c} monsters
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5} {c_highlight}Undercity of Kurast{/c}"
2533730,Item_X2_HoradricCube_TuningStone_7,2,4123507722,Flavor,"""The Cube is powerful, fine, but its results are meaningless without intent! There must be a way to dampen the chaos...to align matter with my intention."" -Zoltun Kulle"
2533732,Item_X2_HoradricCube_TuningStone_8,0,4062401,Name,"{icon:Transfiguration, 2} Kullean Tuning Prism"
2533732,Item_X2_HoradricCube_TuningStone_8,1,2789670820,Description,"{c_highlight}Only usable on{/c} {icon:Item_Amulet, 1.5}{c_highlight}Amulets.{/c}

Used to influence {icon:AttributeBullet_AffixTransfigured, 1.5}{c_chaos}Transfiguration{/c} outcomes in the {icon:APS_Reward_CubeMaterials, 1.5}{c_important}Horadric Cube{/c}.

Adds a random bonus {icon:legendarystar, 2}{c_legendary}Legendary Aspect{/c}.

Allows the item to stay {c_highlight}Modifiable{/c} after {c_chaos}Transfiguration{/c}.

Collected from: 
{icon:bullet,1.2}{icon:Cube_TooltipIcon, 1.5} {c_important}Cube Spoils{/c} in {icon:FontIcon_WarPlans, 1.8} {c_highlight}War Plans{/c}
{icon:bullet,1.2}{c_important}Cache Rewards{/c} from {icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5} {c_highlight}The Tree of Whispers{/c}
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5} {c_important}Elite{/c} monsters
{icon:bullet,1.2}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5} {c_highlight}Undercity of Kurast{/c}"
2533732,Item_X2_HoradricCube_TuningStone_8,2,4123507722,Flavor,"""I've refined these dull rocks as far as I can. Results are impressive, yet insignificant against the Primes. For them, I need a different sort of stone. Tyrael has brought me three."" -Zoltun Kulle"
