SNO,FileName,Index,KeyHash,Key,Translation
4080,AttributeDescriptions,215,2443467118,Resource_Regen_Bonus_Percent,[{VALUE2}*100|1%|] {VALUE1} Regeneration per Second
4080,AttributeDescriptions,306,3486749529,Resource_Regen_Per_Second,[{VALUE2}|~|] {VALUE1} Regeneration
4280,UIToolTips,437,3380116078,Resource_Type_Fury,Fury
4280,UIToolTips,438,3380345701,Resource_Type_Mana,Mana
4280,UIToolTips,439,661939299,Resource_Type_Spirit,Spirit
4280,UIToolTips,440,111528146,Resource_Type_Energy,Energy
4280,UIToolTips,445,3892248494,Resource_Type_Essence,Essence
4280,UIToolTips,576,4188179471,Resource_Type_Vigor,Vigor
4280,UIToolTips,677,4050288651,Resource_Type_Enthralled,Bloodlust
4280,UIToolTips,679,4189682446,Resource_Type_Wrath,Wrath
4280,UIToolTips,683,2519466349,Resource_Type_Allegiance,Dominance
4280,UIToolTips,690,4168919572,Resource_Type_Faith,Faith
4280,UIToolTips,700,4189073238,Resource_Type_Dominance,Dominance
