SNO,FileName,Index,KeyHash,Key,Translation
2651970,Item_S15_SoulSplinter_Andariel_01,0,4062401,Name,Lesser Splinter of Anguish
2651970,Item_S15_SoulSplinter_Andariel_01,1,2789670820,Description,{c_important}+250 Fire Resistance{/c}
2651970,Item_S15_SoulSplinter_Andariel_01,2,4123507722,Flavor,"""Cry out my name as the fires of Hell course through your veins!""
– Andariel, Maiden of Anguish

{icon:APS_Reward_CubeMaterials, 1.5} Amalgamable"
2663161,Item_S15_SoulSplinter_Andariel_02,0,4062401,Name,Splinter of Anguish
2663161,Item_S15_SoulSplinter_Andariel_02,1,2789670820,Description,{c_important}+1750 Fire Resistance{/c}
2663161,Item_S15_SoulSplinter_Andariel_02,2,4123507722,Flavor,"""Cry out my name as the fires of Hell course through your veins!""
– Andariel, Maiden of Anguish

{icon:APS_Reward_CubeMaterials, 1.5} Amalgamable"
2663169,Item_S15_SoulSplinter_Andariel_03,0,4062401,Name,Greater Splinter of Anguish
2663169,Item_S15_SoulSplinter_Andariel_03,1,2789670820,Description,{c_important}+2625 Fire Resistance{/c}
2663169,Item_S15_SoulSplinter_Andariel_03,2,4123507722,Flavor,"""Cry out my name as the fires of Hell course through your veins!""
– Andariel, Maiden of Anguish

{icon:APS_Reward_CubeMaterials, 1.5} Amalgamable"
2663171,Item_S15_SoulSplinter_Andariel_04,0,4062401,Name,Abyssal Splinter of Anguish
2663171,Item_S15_SoulSplinter_Andariel_04,1,2789670820,Description,{c_important}+4375 Fire Resistance{/c}
2663171,Item_S15_SoulSplinter_Andariel_04,2,4123507722,Flavor,"""Cry out my name as the fires of Hell course through your veins!""
– Andariel, Maiden of Anguish"
2651974,Item_S15_SoulSplinter_Azmodan_01,0,4062401,Name,Lesser Splinter of Sin
2651974,Item_S15_SoulSplinter_Azmodan_01,1,2789670820,Description,{c_important}+250 Lightning Resistance{/c}
2651974,Item_S15_SoulSplinter_Azmodan_01,2,4123507722,Flavor,"No matter how you try, the blood you wash from your hands continues to spread.

{icon:APS_Reward_CubeMaterials, 1.5} Amalgamable"
2662659,Item_S15_SoulSplinter_Azmodan_02,0,4062401,Name,Splinter of Sin
2662659,Item_S15_SoulSplinter_Azmodan_02,1,2789670820,Description,{c_important}+1750 Lightning Resistance{/c}
2662659,Item_S15_SoulSplinter_Azmodan_02,2,4123507722,Flavor,"No matter how you try, the blood you wash from your hands continues to spread.

{icon:APS_Reward_CubeMaterials, 1.5} Amalgamable"
2662661,Item_S15_SoulSplinter_Azmodan_03,0,4062401,Name,Greater Splinter of Sin
2662661,Item_S15_SoulSplinter_Azmodan_03,1,2789670820,Description,{c_important}+2625 Lightning Resistance{/c}
