SNO,FileName,Index,KeyHash,Key,Translation
2651970,Item_S15_SoulSplinter_Andariel_01,0,4062401,Name,苦悶の破片（小）
2651970,Item_S15_SoulSplinter_Andariel_01,1,2789670820,Description,{c_important}火炎耐性+250{/c}
2651970,Item_S15_SoulSplinter_Andariel_01,2,4123507722,Flavor,"「地獄の炎を体中に巡らせながら、私の名を呼ぶがいい！」
―苦悶の乙女アンダリエル

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2663161,Item_S15_SoulSplinter_Andariel_02,0,4062401,Name,苦悶の破片
2663161,Item_S15_SoulSplinter_Andariel_02,1,2789670820,Description,{c_important}火炎耐性+1750{/c}
2663161,Item_S15_SoulSplinter_Andariel_02,2,4123507722,Flavor,"「地獄の炎を体中に巡らせながら、私の名を呼ぶがいい！」
―苦悶の乙女アンダリエル

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2663169,Item_S15_SoulSplinter_Andariel_03,0,4062401,Name,苦悶の破片（大）
2663169,Item_S15_SoulSplinter_Andariel_03,1,2789670820,Description,{c_important}火炎耐性+2625{/c}
2663169,Item_S15_SoulSplinter_Andariel_03,2,4123507722,Flavor,"「地獄の炎を体中に巡らせながら、私の名を呼ぶがいい！」
―苦悶の乙女アンダリエル

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2663171,Item_S15_SoulSplinter_Andariel_04,0,4062401,Name,苦悶の破片（深淵）
2663171,Item_S15_SoulSplinter_Andariel_04,1,2789670820,Description,{c_important}火炎耐性+4375{/c}
2663171,Item_S15_SoulSplinter_Andariel_04,2,4123507722,Flavor,"「地獄の炎を体中に巡らせながら、私の名を呼ぶがいい！」
―苦悶の乙女アンダリエル"
2651974,Item_S15_SoulSplinter_Azmodan_01,0,4062401,Name,罪悪の破片（小）
2651974,Item_S15_SoulSplinter_Azmodan_01,1,2789670820,Description,{c_important}電撃耐性+250{/c}
2651974,Item_S15_SoulSplinter_Azmodan_01,2,4123507722,Flavor,"どんなに一生懸命洗っても、あなたの手から流れ落ちた血は広がり続ける。

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662659,Item_S15_SoulSplinter_Azmodan_02,0,4062401,Name,罪悪の破片
2662659,Item_S15_SoulSplinter_Azmodan_02,1,2789670820,Description,{c_important}電撃耐性+1750{/c}
2662659,Item_S15_SoulSplinter_Azmodan_02,2,4123507722,Flavor,"どんなに一生懸命洗っても、あなたの手から流れ落ちた血は広がり続ける。

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662661,Item_S15_SoulSplinter_Azmodan_03,0,4062401,Name,罪悪の破片（大）
2662661,Item_S15_SoulSplinter_Azmodan_03,1,2789670820,Description,{c_important}電撃耐性+2625{/c}
2662661,Item_S15_SoulSplinter_Azmodan_03,2,4123507722,Flavor,"どんなに一生懸命洗っても、あなたの手から流れ落ちた血は広がり続ける。

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662666,Item_S15_SoulSplinter_Azmodan_04,0,4123507722,Flavor,どんなに一生懸命洗っても、あなたの手から流れ落ちた血は広がり続ける
2662666,Item_S15_SoulSplinter_Azmodan_04,1,4062401,Name,罪悪の破片（深淵）
2662666,Item_S15_SoulSplinter_Azmodan_04,2,2789670820,Description,{c_important}電撃耐性+4375{/c}
2651972,Item_S15_SoulSplinter_Belial_01,0,4062401,Name,欺瞞の破片（小）
2651972,Item_S15_SoulSplinter_Belial_01,1,2789670820,Description,{c_important}冷気耐性+250{/c}
2651972,Item_S15_SoulSplinter_Belial_01,2,4123507722,Flavor,"「これが彼の“真の姿”の一部だったとどうして言い切れる？　そんなもの、そもそも存在するのか？」
―収集家ティルナン

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662707,Item_S15_SoulSplinter_Belial_02,0,4062401,Name,欺瞞の破片
2662707,Item_S15_SoulSplinter_Belial_02,1,2789670820,Description,{c_important}冷気耐性+1750{/c}
2662707,Item_S15_SoulSplinter_Belial_02,2,4123507722,Flavor,"「これが彼の“真の姿”の一部だったとどうして言い切れる？　そんなもの、そもそも存在するのか？」
―収集家ティルナン

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662709,Item_S15_SoulSplinter_Belial_03,0,4062401,Name,欺瞞の破片（大）
2662709,Item_S15_SoulSplinter_Belial_03,1,2789670820,Description,{c_important}冷気耐性+2625{/c}
2662709,Item_S15_SoulSplinter_Belial_03,2,4123507722,Flavor,"「これが彼の“真の姿”の一部だったとどうして言い切れる？　そんなもの、そもそも存在するのか？」
―収集家ティルナン

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662711,Item_S15_SoulSplinter_Belial_04,0,4062401,Name,欺瞞の破片（深淵）
2662711,Item_S15_SoulSplinter_Belial_04,1,2789670820,Description,{c_important}冷気耐性+4375{/c}
2662711,Item_S15_SoulSplinter_Belial_04,2,4123507722,Flavor,"「これが彼の“真の姿”の一部だったとどうして言い切れる？　そんなもの、そもそも存在するのか？」
―収集家ティルナン"
2651979,Item_S15_SoulSplinter_BlackSoulStone_01,0,4062401,Name,黒のソウルストーンの破片（小）
2651979,Item_S15_SoulSplinter_BlackSoulStone_01,1,2789670820,Description,{c_important}全ステータス+7{/c}
2651979,Item_S15_SoulSplinter_BlackSoulStone_01,2,4123507722,Flavor,"「ネファレムよ、旅は終わりにしろ。仲間たちはただお前を支配しようとしているだけだ。私が授ける力さえあれば、お前と私はすべての創造物の支配者となれるだろう」
―ゾルタン・クーレ

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662958,Item_S15_SoulSplinter_BlackSoulStone_02,0,4062401,Name,黒のソウルストーンの破片
2662958,Item_S15_SoulSplinter_BlackSoulStone_02,1,2789670820,Description,{c_important}全ステータス+20{/c}
2662958,Item_S15_SoulSplinter_BlackSoulStone_02,2,4123507722,Flavor,"「ネファレムよ、旅は終わりにしろ。仲間たちはただお前を支配しようとしているだけだ。私が授ける力さえあれば、お前と私はすべての創造物の支配者となれるだろう」
―ゾルタン・クーレ

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662960,Item_S15_SoulSplinter_BlackSoulStone_03,0,4062401,Name,黒のソウルストーンの破片（大）
2662960,Item_S15_SoulSplinter_BlackSoulStone_03,1,2789670820,Description,{c_important}全ステータス+30{/c}
2662960,Item_S15_SoulSplinter_BlackSoulStone_03,2,4123507722,Flavor,"「ネファレムよ、旅は終わりにしろ。仲間たちはただお前を支配しようとしているだけだ。私が授ける力さえあれば、お前と私はすべての創造物の支配者となれるだろう」
―ゾルタン・クーレ

{icon:APS_Reward_CubeMaterials, 1.5}融合可能"
2662962,Item_S15_SoulSplinter_BlackSoulStone_04,0,4062401,Name,黒のソウルストーンの破片（深淵）
2662962,Item_S15_SoulSplinter_BlackSoulStone_04,1,2789670820,Description,{c_important}全ステータス+50{/c}
2662962,Item_S15_SoulSplinter_BlackSoulStone_04,2,4123507722,Flavor,"「ネファレムよ、旅は終わりにしろ。仲間たちはただお前を支配しようとしているだけだ。私が授ける力さえあれば、お前と私はすべての創造物の支配者となれるだろう」
―ゾルタン・クーレ"
2651946,Item_S15_SoulSplinter_Duriel_01,0,4062401,Name,苦痛の破片（小）
2651946,Item_S15_SoulSplinter_Duriel_01,1,2789670820,Description,{c_important}毒耐性+250{/c}
2651946,Item_S15_SoulSplinter_Duriel_01,2,4123507722,Flavor,"「時には、痛みを待つ時間のほうが、実際の痛みよりも大きな苦しみをもたらす。しかし、私が貴様に与える痛みは違う」
―苦痛の帝王デュリエル

{icon:APS_Reward_CubeMaterials,1.5}融合可能"
